"value","statistic","variable","country","total_asked","who_was_asked"
"Bank loans (e.g. at subsidized rate, with government guarantee, with period of grace, etc)",3,"h12020_hhd_hlp_typ_text","NG",1192,"Owners/Managers of SMB Businesses"
"Funding from family and friends",3,"h12020_hhd_hlp_typ_text","NG",1192,"Owners/Managers of SMB Businesses"
"Government loans (e.g. at subsidized rate, with government guarantee, with period of grace, etc)",3,"h12020_hhd_hlp_typ_text","NG",1192,"Owners/Managers of SMB Businesses"
"Grants from private-sector companies",5,"h12020_hhd_hlp_typ_text","NG",1192,"Owners/Managers of SMB Businesses"
"Grants from the government",5,"h12020_hhd_hlp_typ_text","NG",1192,"Owners/Managers of SMB Businesses"
"Not receiving any of these types of financial assistance",5,"h12020_hhd_hlp_typ_text","NG",1192,"Owners/Managers of SMB Businesses"
"Unemployment benefits",2,"h12020_hhd_hlp_typ_text","NG",1192,"Owners/Managers of SMB Businesses"
NA,1166,"h12020_hhd_hlp_typ_text","NG",1192,"Owners/Managers of SMB Businesses"
"Bank loans (e.g. at subsidized rate, with government guarantee, with period of grace, etc)",2,"h12020_hhd_hlp_typ_text","NL",438,"Owners/Managers of SMB Businesses"
"Funding from family and friends",3,"h12020_hhd_hlp_typ_text","NL",438,"Owners/Managers of SMB Businesses"
"Government loans (e.g. at subsidized rate, with government guarantee, with period of grace, etc)",3,"h12020_hhd_hlp_typ_text","NL",438,"Owners/Managers of SMB Businesses"
"Grants from private-sector companies",2,"h12020_hhd_hlp_typ_text","NL",438,"Owners/Managers of SMB Businesses"
"Grants from the government",38,"h12020_hhd_hlp_typ_text","NL",438,"Owners/Managers of SMB Businesses"
"Not receiving any of these types of financial assistance",4,"h12020_hhd_hlp_typ_text","NL",438,"Owners/Managers of SMB Businesses"
"Other (please specify)",5,"h12020_hhd_hlp_typ_text","NL",438,"Owners/Managers of SMB Businesses"
"Unemployment benefits",4,"h12020_hhd_hlp_typ_text","NL",438,"Owners/Managers of SMB Businesses"
NA,377,"h12020_hhd_hlp_typ_text","NL",438,"Owners/Managers of SMB Businesses"
"Bank loans (e.g. at subsidized rate, with government guarantee, with period of grace, etc)",1,"h12020_hhd_hlp_typ_text","NO",192,"Owners/Managers of SMB Businesses"
"Grants from the government",9,"h12020_hhd_hlp_typ_text","NO",192,"Owners/Managers of SMB Businesses"
"Other (please specify)",1,"h12020_hhd_hlp_typ_text","NO",192,"Owners/Managers of SMB Businesses"
"Unemployment benefits",5,"h12020_hhd_hlp_typ_text","NO",192,"Owners/Managers of SMB Businesses"
NA,176,"h12020_hhd_hlp_typ_text","NO",192,"Owners/Managers of SMB Businesses"
"Bank loans (e.g. at subsidized rate, with government guarantee, with period of grace, etc)",2,"h12020_hhd_hlp_typ_text","PE",309,"Owners/Managers of SMB Businesses"
"Funding from family and friends",2,"h12020_hhd_hlp_typ_text","PE",309,"Owners/Managers of SMB Businesses"
"Government loans (e.g. at subsidized rate, with government guarantee, with period of grace, etc)",3,"h12020_hhd_hlp_typ_text","PE",309,"Owners/Managers of SMB Businesses"
"Grants from the government",2,"h12020_hhd_hlp_typ_text","PE",309,"Owners/Managers of SMB Businesses"
"Not receiving any of these types of financial assistance",1,"h12020_hhd_hlp_typ_text","PE",309,"Owners/Managers of SMB Businesses"
"Other (please specify)",2,"h12020_hhd_hlp_typ_text","PE",309,"Owners/Managers of SMB Businesses"
NA,297,"h12020_hhd_hlp_typ_text","PE",309,"Owners/Managers of SMB Businesses"
"Bank loans (e.g. at subsidized rate, with government guarantee, with period of grace, etc)",1,"h12020_hhd_hlp_typ_text","PH",298,"Owners/Managers of SMB Businesses"
"Funding from family and friends",3,"h12020_hhd_hlp_typ_text","PH",298,"Owners/Managers of SMB Businesses"
"Government loans (e.g. at subsidized rate, with government guarantee, with period of grace, etc)",2,"h12020_hhd_hlp_typ_text","PH",298,"Owners/Managers of SMB Businesses"
"Grants from the government",11,"h12020_hhd_hlp_typ_text","PH",298,"Owners/Managers of SMB Businesses"
"Not receiving any of these types of financial assistance",1,"h12020_hhd_hlp_typ_text","PH",298,"Owners/Managers of SMB Businesses"
"Other (please specify)",4,"h12020_hhd_hlp_typ_text","PH",298,"Owners/Managers of SMB Businesses"
NA,276,"h12020_hhd_hlp_typ_text","PH",298,"Owners/Managers of SMB Businesses"
"Bank loans (e.g. at subsidized rate, with government guarantee, with period of grace, etc)",4,"h12020_hhd_hlp_typ_text","PK",500,"Owners/Managers of SMB Businesses"
"Crowd-sourced capital",1,"h12020_hhd_hlp_typ_text","PK",500,"Owners/Managers of SMB Businesses"
"Funding from family and friends",6,"h12020_hhd_hlp_typ_text","PK",500,"Owners/Managers of SMB Businesses"
"Government loans (e.g. at subsidized rate, with government guarantee, with period of grace, etc)",1,"h12020_hhd_hlp_typ_text","PK",500,"Owners/Managers of SMB Businesses"
"Grants from private-sector companies",1,"h12020_hhd_hlp_typ_text","PK",500,"Owners/Managers of SMB Businesses"
"Grants from the government",1,"h12020_hhd_hlp_typ_text","PK",500,"Owners/Managers of SMB Businesses"
"Not receiving any of these types of financial assistance",4,"h12020_hhd_hlp_typ_text","PK",500,"Owners/Managers of SMB Businesses"
"Other (please specify)",3,"h12020_hhd_hlp_typ_text","PK",500,"Owners/Managers of SMB Businesses"
"Unemployment benefits",1,"h12020_hhd_hlp_typ_text","PK",500,"Owners/Managers of SMB Businesses"
NA,478,"h12020_hhd_hlp_typ_text","PK",500,"Owners/Managers of SMB Businesses"
"Bank loans (e.g. at subsidized rate, with government guarantee, with period of grace, etc)",6,"h12020_hhd_hlp_typ_text","PL",435,"Owners/Managers of SMB Businesses"
"Crowd-sourced capital",2,"h12020_hhd_hlp_typ_text","PL",435,"Owners/Managers of SMB Businesses"
"Funding from family and friends",5,"h12020_hhd_hlp_typ_text","PL",435,"Owners/Managers of SMB Businesses"
"Government loans (e.g. at subsidized rate, with government guarantee, with period of grace, etc)",28,"h12020_hhd_hlp_typ_text","PL",435,"Owners/Managers of SMB Businesses"
"Grants from private-sector companies",3,"h12020_hhd_hlp_typ_text","PL",435,"Owners/Managers of SMB Businesses"
"Grants from the government",52,"h12020_hhd_hlp_typ_text","PL",435,"Owners/Managers of SMB Businesses"
"Not receiving any of these types of financial assistance",20,"h12020_hhd_hlp_typ_text","PL",435,"Owners/Managers of SMB Businesses"
"Other (please specify)",14,"h12020_hhd_hlp_typ_text","PL",435,"Owners/Managers of SMB Businesses"
NA,305,"h12020_hhd_hlp_typ_text","PL",435,"Owners/Managers of SMB Businesses"
"Bank loans (e.g. at subsidized rate, with government guarantee, with period of grace, etc)",5,"h12020_hhd_hlp_typ_text","PT",381,"Owners/Managers of SMB Businesses"
"Funding from family and friends",3,"h12020_hhd_hlp_typ_text","PT",381,"Owners/Managers of SMB Businesses"
"Government loans (e.g. at subsidized rate, with government guarantee, with period of grace, etc)",3,"h12020_hhd_hlp_typ_text","PT",381,"Owners/Managers of SMB Businesses"
"Grants from private-sector companies",2,"h12020_hhd_hlp_typ_text","PT",381,"Owners/Managers of SMB Businesses"
"Grants from the government",21,"h12020_hhd_hlp_typ_text","PT",381,"Owners/Managers of SMB Businesses"
"Not receiving any of these types of financial assistance",3,"h12020_hhd_hlp_typ_text","PT",381,"Owners/Managers of SMB Businesses"
"Other (please specify)",4,"h12020_hhd_hlp_typ_text","PT",381,"Owners/Managers of SMB Businesses"
NA,340,"h12020_hhd_hlp_typ_text","PT",381,"Owners/Managers of SMB Businesses"
"Bank loans (e.g. at subsidized rate, with government guarantee, with period of grace, etc)",3,"h12020_hhd_hlp_typ_text","RO",503,"Owners/Managers of SMB Businesses"
"Funding from family and friends",3,"h12020_hhd_hlp_typ_text","RO",503,"Owners/Managers of SMB Businesses"
"Government loans (e.g. at subsidized rate, with government guarantee, with period of grace, etc)",1,"h12020_hhd_hlp_typ_text","RO",503,"Owners/Managers of SMB Businesses"
"Grants from private-sector companies",1,"h12020_hhd_hlp_typ_text","RO",503,"Owners/Managers of SMB Businesses"
"Grants from the government",13,"h12020_hhd_hlp_typ_text","RO",503,"Owners/Managers of SMB Businesses"
"Not receiving any of these types of financial assistance",1,"h12020_hhd_hlp_typ_text","RO",503,"Owners/Managers of SMB Businesses"
"Other (please specify)",2,"h12020_hhd_hlp_typ_text","RO",503,"Owners/Managers of SMB Businesses"
"Unemployment benefits",14,"h12020_hhd_hlp_typ_text","RO",503,"Owners/Managers of SMB Businesses"
NA,465,"h12020_hhd_hlp_typ_text","RO",503,"Owners/Managers of SMB Businesses"
"Bank loans (e.g. at subsidized rate, with government guarantee, with period of grace, etc)",6,"h12020_hhd_hlp_typ_text","RU",395,"Owners/Managers of SMB Businesses"
"Funding from family and friends",13,"h12020_hhd_hlp_typ_text","RU",395,"Owners/Managers of SMB Businesses"
"Government loans (e.g. at subsidized rate, with government guarantee, with period of grace, etc)",6,"h12020_hhd_hlp_typ_text","RU",395,"Owners/Managers of SMB Businesses"
"Grants from private-sector companies",1,"h12020_hhd_hlp_typ_text","RU",395,"Owners/Managers of SMB Businesses"
"Grants from the government",12,"h12020_hhd_hlp_typ_text","RU",395,"Owners/Managers of SMB Businesses"
"Not receiving any of these types of financial assistance",17,"h12020_hhd_hlp_typ_text","RU",395,"Owners/Managers of SMB Businesses"
"Other (please specify)",11,"h12020_hhd_hlp_typ_text","RU",395,"Owners/Managers of SMB Businesses"
"Unemployment benefits",2,"h12020_hhd_hlp_typ_text","RU",395,"Owners/Managers of SMB Businesses"
NA,327,"h12020_hhd_hlp_typ_text","RU",395,"Owners/Managers of SMB Businesses"
"Bank loans (e.g. at subsidized rate, with government guarantee, with period of grace, etc)",1,"h12020_hhd_hlp_typ_text","SA",302,"Owners/Managers of SMB Businesses"
"Grants from private-sector companies",2,"h12020_hhd_hlp_typ_text","SA",302,"Owners/Managers of SMB Businesses"
"Grants from the government",2,"h12020_hhd_hlp_typ_text","SA",302,"Owners/Managers of SMB Businesses"
"Not receiving any of these types of financial assistance",5,"h12020_hhd_hlp_typ_text","SA",302,"Owners/Managers of SMB Businesses"
NA,292,"h12020_hhd_hlp_typ_text","SA",302,"Owners/Managers of SMB Businesses"
"Funding from family and friends",3,"h12020_hhd_hlp_typ_text","SE",424,"Owners/Managers of SMB Businesses"
"Government loans (e.g. at subsidized rate, with government guarantee, with period of grace, etc)",3,"h12020_hhd_hlp_typ_text","SE",424,"Owners/Managers of SMB Businesses"
"Grants from the government",27,"h12020_hhd_hlp_typ_text","SE",424,"Owners/Managers of SMB Businesses"
